,BAU,3.0°C scenario,2.0°C scenario,1.5°C scenario
other processes,11,10,10,9
clinker,3,4,4,3
aluminum (process emissions),6,6,6,6
SF6,7,7,7,7
coal,8,7,6,6
transport,9,8,8,8
heat,11,11,10,10
iron & steel (process emissions),11,10,10,9
electricity,34,23,19,18
SPACING,0,14,20,24
