,BAU,3.0°C scenario,2.0°C scenario,1.5°C scenario
2023 → 2025,10,10,10,10
2025 → 2030,26,25,25,25
2030 → 2035,26,22,21,20
2035 → 2040,20,16,13,12
2040 → 2045,18,13,11,9
SPACING,0,14,20,24
