scenario;year;share_future
Base;2023;0.00
Base;2025;0.05
Base;2030;0.20
Base;2035;0.35
Base;2037;0.45
Base;2040;0.55
RCP26;2023;0.00
RCP26;2025;0.10
RCP26;2030;0.35
RCP26;2035;0.55
RCP26;2037;0.65
RCP26;2040;0.75
RCP19;2023;0.00
RCP19;2025;0.15
RCP19;2030;0.45
RCP19;2035;0.65
RCP19;2037;0.75
RCP19;2040;0.85
