,BAU,3.0°C scenario,2.0°C scenario,1.5°C scenario
other materials,4,4,4,3
concrete,4,4,3,3
plastics,6,5,5,5
SF6,7,7,7,7
copper,15,13,11,11
iron & steel,20,18,17,16
aluminum,44,35,33,31
SPACING,0,14,20,24
