input;amount;unit
copper;4300.0;kilogram
paper;1900.0;kilogram
transformer_oil;1600.0;kilogram
lead;6950.0;kilogram
bronze;1600.0;kilogram
polypropylene;950.0;kilogram
excavation;432.0;cubic meter
