input;amount;unit
aluminium_cast;392.5;kilogram
copper;69.0;kilogram
rubber;41.5;kilogram
steel_unalloyed;374.5;kilogram
epoxy;103.0;kilogram
sulfur_hexafluoride;18.0;kilogram
steel_lowalloyed;80.0;kilogram
