input;amount;unit
aluminium_cast;166.68;kilogram
copper;55.56;kilogram
epoxy;4.2;kilogram
porcelain;680.6;kilogram
sulfur_hexafluoride;4.2;kilogram
steel_unalloyed;458.37;kilogram
zinc;6.95;kilogram
