input;amount;unit
copper;7350.0;kilogram
paper;2500.0;kilogram
transformer_oil;1950.0;kilogram
lead;7100.0;kilogram
steel_unalloyed;1700.0;kilogram
polyethylene;1300.0;kilogram
excavation;432.0;cubic meter
