input;amount;unit
aluminium_cast;9172;kilogram
copper;1009;kilogram
rubber;65;kilogram
epoxy;1096;kilogram
polyester_resin;80;kilogram
sulfur_hexafluoride;534;kilogram
steel_chromium_steel;362;kilogram
steel_unalloyed;2057;kilogram
wood;1.08695652;cubic meters
polycarbonate;5;kilogram
