input;amount;unit
aluminium_cast;4586.0;kilogram
copper;504.5;kilogram
rubber;32.5;kilogram
epoxy;548.0;kilogram
polyester_resin;40.0;kilogram
sulfur_hexafluoride;267.0;kilogram
steel_chromium_steel;181.0;kilogram
steel_unalloyed;1028.5;kilogram
wood;0.54347826;cubic meters
polycarbonate;2.5;kilogram
