input;amount;unit
aluminium_cast;2034.5;kilogram
copper;444.0;kilogram
rubber;12.5;kilogram
epoxy;264.0;kilogram
polyester_resin;25.0;kilogram
sulfur_hexafluoride;73.5;kilogram
steel_chromium_steel_18/8;210.0;kilogram
steel_unalloyed;637.0;kilogram
wood;0.054347826;cubic meters
