input;amount;unit
steel_unalloyed;923;kilogram
aluminium_wrought_alloy;940;kilogram
copper;2330;kilogram
polyethylene;28;kilogram
porcelain;67;kilogram
rubber;15;kilogram
softwood;0.0166;cubic meters
