input;amount;unit
aluminium_cast;83.34;kilogram
copper;27.78;kilogram
epoxy;2.1;kilogram
porcelain;340.3;kilogram
sulfur_hexafluoride;2.1;kilogram
steel_unalloyed;229.185;kilogram
zinc;3.475;kilogram
