input;amount;unit
aluminium_cast;129.5;kilogram
copper;31.5;kilogram
porcelain;405.0;kilogram
steel_lowalloyed;409.0;kilogram
transformer_oil;0.35;kilogram
softwood;0.19;cubic meters
