input;amount;unit
aluminium_cast;785;kilogram
copper;138;kilogram
rubber;83;kilogram
steel_unalloyed;749;kilogram
epoxy;206;kilogram
sulfur_hexafluoride;36;kilogram
steel_lowalloyed;160;kilogram
