input;amount;unit
aluminium_cast;4069;kilogram
copper;888;kilogram
rubber;25;kilogram
epoxy;528;kilogram
polyester_resin;50;kilogram
sulfur_hexafluoride;147;kilogram
steel_chromium_steel_18/8;420;kilogram
steel_unalloyed;1274;kilogram
wood;0.108695652;cubic meters
