input;amount;unit
aluminium_sheet;86.3;kilogram
aluminium_wrought_alloy;113.51;kilogram
glass_wool_mat;59.9;kilogram
porcelain;11;kilogram
steel_lowalloyed;533;kilogram
steel_unalloyed;324;kilogram
transformer_oil;340;kilogram
